UA,Bidang,Output 2015
UiTM,SASTERA DAN KEMANUSIAAN,3397
UiTM,KESELURUHAN,38576
UTM,"KEJURUTERAAN, PEMBUATAN DAN PEMBINAAN",3924
UTM,KESIHATAN DAN KEBAJIKAN,0
UTM,PENDIDIKAN,743
UTM,PERKHIDMATAN,101
UTM,PERTANIAN DAN VETERINAR,0
UTM,PROGRAM ASAS,0
UTM,"SAINS SOSIAL, PERNIAGAAN DAN PERUNDANGAN",890
UTM,"SAINS, MATEMATIK DAN KOMPUTER",1306
UTM,SASTERA DAN KEMANUSIAAN,33
UTM,KESELURUHAN,6997
UIAM,"KEJURUTERAAN, PEMBUATAN DAN PEMBINAAN",1117
UIAM,KESIHATAN DAN KEBAJIKAN,495
UIAM,PENDIDIKAN,511
UIAM,PERKHIDMATAN,0
UIAM,PERTANIAN DAN VETERINAR,0
UIAM,PROGRAM ASAS,0
UIAM,"SAINS SOSIAL, PERNIAGAAN DAN PERUNDANGAN",1952
UIAM,"SAINS, MATEMATIK DAN KOMPUTER",644
UIAM,SASTERA DAN KEMANUSIAAN,741
UIAM,KESELURUHAN,5460
UUM,"KEJURUTERAAN, PEMBUATAN DAN PEMBINAAN",0
UUM,KESIHATAN DAN KEBAJIKAN,98
UUM,PENDIDIKAN,959
UUM,PERKHIDMATAN,205
UUM,PERTANIAN DAN VETERINAR,0
UUM,PROGRAM ASAS,0
UUM,"SAINS SOSIAL, PERNIAGAAN DAN PERUNDANGAN",4856
UUM,"SAINS, MATEMATIK DAN KOMPUTER",522
UUM,SASTERA DAN KEMANUSIAAN,69
UUM,KESELURUHAN,6709
UMS,"KEJURUTERAAN, PEMBUATAN DAN PEMBINAAN",609
UMS,KESIHATAN DAN KEBAJIKAN,161
UMS,PENDIDIKAN,149
UMS,PERKHIDMATAN,173
UMS,PERTANIAN DAN VETERINAR,113
UMS,PROGRAM ASAS,0
UMS,"SAINS SOSIAL, PERNIAGAAN DAN PERUNDANGAN",1877
UMS,"SAINS, MATEMATIK DAN KOMPUTER",661
UMS,SASTERA DAN KEMANUSIAAN,321
UMS,KESELURUHAN,4064
UPSI,"KEJURUTERAAN, PEMBUATAN DAN PEMBINAAN",0
UPSI,KESIHATAN DAN KEBAJIKAN,445
UPSI,PENDIDIKAN,9871
UPSI,PERKHIDMATAN,1
UPSI,PERTANIAN DAN VETERINAR,0
UPSI,PROGRAM ASAS,0
UPSI,"SAINS SOSIAL, PERNIAGAAN DAN PERUNDANGAN",90
UPSI,"SAINS, MATEMATIK DAN KOMPUTER",903
UPSI,SASTERA DAN KEMANUSIAAN,497
UPSI,KESELURUHAN,11807
UNIMAS,"KEJURUTERAAN, PEMBUATAN DAN PEMBINAAN",316
UNIMAS,KESIHATAN DAN KEBAJIKAN,266
UNIMAS,PENDIDIKAN,28
UNIMAS,PERKHIDMATAN,17
UNIMAS,PERTANIAN DAN VETERINAR,0
UNIMAS,PROGRAM ASAS,0
UNIMAS,"SAINS SOSIAL, PERNIAGAAN DAN PERUNDANGAN",1922
UNIMAS,"SAINS, MATEMATIK DAN KOMPUTER",1719
UNIMAS,SASTERA DAN KEMANUSIAAN,311
UNIMAS,KESELURUHAN,4579
UKM,"KEJURUTERAAN, PEMBUATAN DAN PEMBINAAN",588
UKM,KESIHATAN DAN KEBAJIKAN,902
UKM,PENDIDIKAN,497
UKM,PERKHIDMATAN,106
UKM,PERTANIAN DAN VETERINAR,5
UKM,PROGRAM ASAS,0
UKM,"SAINS SOSIAL, PERNIAGAAN DAN PERUNDANGAN",1258
UKM,"SAINS, MATEMATIK DAN KOMPUTER",797
UKM,SASTERA DAN KEMANUSIAAN,612
UKM,KESELURUHAN,4765
UMK,"KEJURUTERAAN, PEMBUATAN DAN PEMBINAAN",97
UMK,KESIHATAN DAN KEBAJIKAN,50
UMK,PENDIDIKAN,0
UMK,PERKHIDMATAN,149
UMK,PERTANIAN DAN VETERINAR,115
UMK,PROGRAM ASAS,0
UMK,"SAINS SOSIAL, PERNIAGAAN DAN PERUNDANGAN",275
UMK,"SAINS, MATEMATIK DAN KOMPUTER",120
UMK,SASTERA DAN KEMANUSIAAN,256
UMK,KESELURUHAN,1062
UPNM,"KEJURUTERAAN, PEMBUATAN DAN PEMBINAAN",129
UPNM,KESIHATAN DAN KEBAJIKAN,51
UPNM,PENDIDIKAN,0
UPNM,PERKHIDMATAN,278
UPNM,PERTANIAN DAN VETERINAR,0
UPNM,PROGRAM ASAS,0
UPNM,"SAINS SOSIAL, PERNIAGAAN DAN PERUNDANGAN",651
UPNM,"SAINS, MATEMATIK DAN KOMPUTER",199
UPNM,SASTERA DAN KEMANUSIAAN,0
UPNM,KESELURUHAN,1308
